phase_id,task_id,started,blocked,resumed,done,failed,total_events,event_span_days
P49,P49-T0,1,0,0,1,0,2,0
P49,P49-T1,1,0,0,1,0,2,0
P49,P49-T2,1,0,0,1,0,2,0
P49,P49-T3,1,0,0,1,0,2,0
P5,P5-T2,1,0,0,1,0,2,0
P5,P5-T3,1,0,0,1,0,2,0
P5,P5-T4,1,0,0,1,0,2,0
P5,P5-T5,1,0,0,1,0,2,0
P50,P50-T0,1,0,0,1,0,2,0
P50,P50-T1,1,0,0,1,0,2,0
P50,P50-T2,1,0,0,1,0,2,0
P50,P50-T3,1,0,0,1,0,2,0
P9,P9-T1,1,0,0,1,0,2,0
P9,P9-T2,1,0,0,1,0,2,0
P9,P9-T3,1,0,0,1,0,2,0.4
P9,P9-T4,1,0,0,1,0,2,0
P9,P9-T5,1,0,0,1,0,2,0
P9,P9-T6,1,0,0,1,0,2,0
P9,P9-T7,1,0,0,1,0,2,0
